id,Geographic Area Name,Household median income
0500000US01001,"Autauga County, Alabama",57982
0500000US01003,"Baldwin County, Alabama",61756
0500000US01005,"Barbour County, Alabama",34990
0500000US01007,"Bibb County, Alabama",51721
0500000US01009,"Blount County, Alabama",48922
0500000US01011,"Bullock County, Alabama",33866
0500000US01013,"Butler County, Alabama",44850
0500000US01015,"Calhoun County, Alabama",50128
0500000US01017,"Chambers County, Alabama",43875
0500000US01019,"Cherokee County, Alabama",42509
0500000US01021,"Chilton County, Alabama",52141
0500000US01023,"Choctaw County, Alabama",36634
0500000US01025,"Clarke County, Alabama",37345
0500000US01027,"Clay County, Alabama",42678
0500000US01029,"Cleburne County, Alabama",46320
0500000US01031,"Coffee County, Alabama",56799
0500000US01033,"Colbert County, Alabama",47962
0500000US01035,"Conecuh County, Alabama",35444
0500000US01037,"Coosa County, Alabama",43571
0500000US01039,"Covington County, Alabama",42566
0500000US01041,"Crenshaw County, Alabama",42611
0500000US01043,"Cullman County, Alabama",48388
0500000US01045,"Dale County, Alabama",45644
0500000US01047,"Dallas County, Alabama",33317
0500000US01049,"DeKalb County, Alabama",42267
0500000US01051,"Elmore County, Alabama",62324
0500000US01053,"Escambia County, Alabama",35558
0500000US01055,"Etowah County, Alabama",44934
0500000US01057,"Fayette County, Alabama",41469
0500000US01059,"Franklin County, Alabama",41174
0500000US01061,"Geneva County, Alabama",41569
0500000US01063,"Greene County, Alabama",26688
0500000US01065,"Hale County, Alabama",30793
0500000US01067,"Henry County, Alabama",51715
0500000US01069,"Houston County, Alabama",49069
0500000US01071,"Jackson County, Alabama",42578
0500000US01073,"Jefferson County, Alabama",55088
0500000US01075,"Lamar County, Alabama",42688
0500000US01077,"Lauderdale County, Alabama",48428
0500000US01079,"Lawrence County, Alabama",47125
0500000US01081,"Lee County, Alabama",52930
0500000US01083,"Limestone County, Alabama",64270
0500000US01085,"Lowndes County, Alabama",33634
0500000US01087,"Macon County, Alabama",35450
0500000US01089,"Madison County, Alabama",66887
0500000US01091,"Marengo County, Alabama",33029
0500000US01093,"Marion County, Alabama",40978
0500000US01095,"Marshall County, Alabama",50216
0500000US01097,"Mobile County, Alabama",49625
0500000US01099,"Monroe County, Alabama",31969
0500000US01101,"Montgomery County, Alabama",51963
0500000US01103,"Morgan County, Alabama",52923
0500000US01105,"Perry County, Alabama",23875
0500000US01107,"Pickens County, Alabama",40362
0500000US01109,"Pike County, Alabama",39218
0500000US01111,"Randolph County, Alabama",45141
0500000US01113,"Russell County, Alabama",42208
0500000US01115,"St. Clair County, Alabama",62531
0500000US01117,"Shelby County, Alabama",78889
0500000US01119,"Sumter County, Alabama",26150
0500000US01121,"Talladega County, Alabama",43969
0500000US01123,"Tallapoosa County, Alabama",48160
0500000US01125,"Tuscaloosa County, Alabama",54283
0500000US01127,"Walker County, Alabama",45833
0500000US01129,"Washington County, Alabama",42331
0500000US01131,"Wilcox County, Alabama",35063
0500000US01133,"Winston County, Alabama",40991
0500000US02013,"Aleutians East Borough, Alaska",75833
0500000US02016,"Aleutians West Census Area, Alaska",87443
0500000US02020,"Anchorage Municipality, Alaska",84813
0500000US02050,"Bethel Census Area, Alaska",54400
0500000US02060,"Bristol Bay Borough, Alaska",79808
0500000US02063,"Chugach Census Area, Alaska",90776
0500000US02066,"Copper River Census Area, Alaska",64745
0500000US02068,"Denali Borough, Alaska",76364
0500000US02070,"Dillingham Census Area, Alaska",57436
0500000US02090,"Fairbanks North Star Borough, Alaska",76464
0500000US02100,"Haines Borough, Alaska",65014
0500000US02105,"Hoonah-Angoon Census Area, Alaska",59926
0500000US02110,"Juneau City and Borough, Alaska",88077
0500000US02122,"Kenai Peninsula Borough, Alaska",69245
0500000US02130,"Ketchikan Gateway Borough, Alaska",74678
0500000US02150,"Kodiak Island Borough, Alaska",79173
0500000US02158,"Kusilvak Census Area, Alaska",37358
0500000US02164,"Lake and Peninsula Borough, Alaska",48750
0500000US02170,"Matanuska-Susitna Borough, Alaska",76118
0500000US02180,"Nome Census Area, Alaska",62843
0500000US02185,"North Slope Borough, Alaska",79083
0500000US02188,"Northwest Arctic Borough, Alaska",63750
0500000US02195,"Petersburg Borough, Alaska",68667
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",54018
0500000US02220,"Sitka City and Borough, Alaska",81708
0500000US02230,"Skagway Municipality, Alaska",71875
0500000US02240,"Southeast Fairbanks Census Area, Alaska",66941
0500000US02275,"Wrangell City and Borough, Alaska",58438
0500000US02282,"Yakutat City and Borough, Alaska",59517
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",41728
0500000US04001,"Apache County, Arizona",33967
0500000US04003,"Cochise County, Arizona",51505
0500000US04005,"Coconino County, Arizona",59000
0500000US04007,"Gila County, Arizona",46907
0500000US04009,"Graham County, Arizona",55693
0500000US04011,"Greenlee County, Arizona",66368
0500000US04012,"La Paz County, Arizona",34956
0500000US04013,"Maricopa County, Arizona",67799
0500000US04015,"Mohave County, Arizona",47686
0500000US04017,"Navajo County, Arizona",43140
0500000US04019,"Pima County, Arizona",55023
0500000US04021,"Pinal County, Arizona",60968
0500000US04023,"Santa Cruz County, Arizona",41424
0500000US04025,"Yavapai County, Arizona",53329
0500000US04027,"Yuma County, Arizona",48790
0500000US05001,"Arkansas County, Arkansas",51000
0500000US05003,"Ashley County, Arkansas",43601
0500000US05005,"Baxter County, Arkansas",43504
0500000US05007,"Benton County, Arkansas",71556
0500000US05009,"Boone County, Arkansas",46392
0500000US05011,"Bradley County, Arkansas",41808
0500000US05013,"Calhoun County, Arkansas",50441
0500000US05015,"Carroll County, Arkansas",48249
0500000US05017,"Chicot County, Arkansas",33523
0500000US05019,"Clark County, Arkansas",39500
0500000US05021,"Clay County, Arkansas",37933
0500000US05023,"Cleburne County, Arkansas",45563
0500000US05025,"Cleveland County, Arkansas",46349
0500000US05027,"Columbia County, Arkansas",37609
0500000US05029,"Conway County, Arkansas",44456
