RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30
3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,37,217845,217955,218949,220752,222995,225043,227147,229529,231690,233440,235121,236813,238012,239120,240564,242822,245072,247396,249803,252474,254786,257254,259408,261801,263571,265649,268261,271696,275470,279149,283936,289046,294529,299412,304275,308900,312525,315713,319538,323558,328757,332800,338827,345073,352091,357301,362353,367812,374290,380825,387572,396138,406942,417517,427001,435687,446135,456103,462849,468535,472901,480390,487307,495056,501365,509115,517771,527281,536606,547166,554555,561055,566681,571666,577159,580931,586856,591386,594333,596205,594478,594113,593930,595893,596482,596228,594664,594155,591498,588814,583763,578758,573157,566392,560468,554158,550070,544018,534238,520449,505164,491481,477731,465540,456420,448804,441072,430300,422783,417949,415424,412003,408793,404381,401269,399591,399149,399016,400621,405267,407384,406946,407844,410262,414589,413233,411214,406151,401952,397878,394364,393501,392864,393555,391936,390808,386235,385543,384089,381776,377166,372693,372078,371766,371510,371234,370924,371526,372431,374243,376264,377523,378820,382013,385819,392278,397391,405654,413529,423036,430557,438620,446344,455244,462221,467316,472059,475737,481173,483242,485518,485026,486341,487008,488322,487053,486337,487104,490097,493700,498366,503203,507172,507761,510033,512219,512433,512690,513621,518210,522004,527559,531204,535117,536868,541317,544559,548381,547721,548974,551613,557523,560962,563378,567167,570518,573394,574922,578283,581943,583641,585865,588421,593407,599634,604763,610066,615855,621669,626231,628225,630663,631179,632217,633387,636856,639179,638903,638325,636141,634298,633842,634716,636519,634436,634394,635671,640404,643150,646371,649513,656125,662990,668561,666369,663616,666210,675344,686558,696609,704388,709857,713682,720731,727776,738259,752264,770159,790215,802297,810987,813534,818113,823503,828703,837172,851913,869772
139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,17,31,178844,179140,179831,181048,182454,183668,185044,186587,188230,189943,191765,193521,195026,196143,197610,198985,200639,201972,203288,204829,206497,208402,209949,211196,212419,213662,215368,216517,217887,218775,220369,222149,224289,226147,227470,228993,230541,232345,233824,235474,236581,237697,238630,240102,241729,243559,245154,246759,248592,250196,251729,253408,255588,257898,259984,262104,263971,266087,268274,270762,272858,274850,276674,278898,281431,283935,286281,288434,291146,293610,296169,298564,300944,303102,305160,306860,308350,309000,309628,309836,309853,309515,309431,309812,310863,311897,312467,312240,311618,310815,309807,308863,307270,305979,304529,302815,301715,297485,,,293814,288585,288307,283809,281470,276085,272436,267010,261463,257455,252939,251626,248626,247838,246031,244780,241085,238053,234618,234322,232623,232710,230076,231407,230100,231433,227410,225534,221798,219593,216263,213177,210791,208281,207091,205066,204690,202987,202872,201282,199972,196476,194694,191219,189723,186124,186518,186456,187414,186903,185306,184391,183213,184142,184728,185385,186564,187944,189012,190470,192035,195001,197444,200059,201598,204728,205935,207971,208351,210474,211530,212053,212929,214286,215069,214857,215288,215775,216230,216842,217150,217964,218771,220694,222141,222455,222645,222744,222874,222544,222546,223611,225024,227814,229523,230610,230421,230352,230955,231398,231876,232553,234084,235648,237654,239515,241944,243393,244154,243838,243600,243644,244603,245252,246016,247433,249996,252439,253296,253440,253514,253771,253890,253815,254409,254806,255738,256511,256950,257576,257881,258283,257950,257485,257257,256887,256668,256145,255913,255800,256237,256808,257084,256850,256531,256560,258019,259914,263721,267120,269971,271661,272306,274620,276395,279456,281271,284351,287958,291774,294412,296949,299903,302685,305309,307100,309725,311927
1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,201,115357,115352,115123,115097,115045,115287,115473,115784,116186,116456,117067,117644,117897,117852,117311,117099,117051,117244,117423,117275,117401,117637,117949,118133,118283,118526,119087,119728,120297,120731,121213,121828,122357,122702,122972,123153,123482,123688,124058,124275,124519,124676,124855,125105,125225,125409,125535,125806,126248,127416,,130807,132201,132333,133297,133656,134478,135012,135601,136356,137066,137802,138302,138685,138742,138873,138831,138693,138462,138196,138354,138349,138491,138297,138431,138611,139297,139785,140377,140804,141455,142232,142806,143397,143525,143346,142962,143174,143739,144502,144830,145270,145590,145916,146110,146293,145674,144952,144271,144218,143943,143564,143288,142755,141984,141217,140231,139205,138179,138099,138159,138455,138752,139302,139919,140027,139828,139247,139201,139335,139201,139103,139314,139916,140305,140058,139106,137512,136308,135462,135116,134683,134110,133493,132573,131916,131443,131204,131212,131245,131095,130815,129760,129082,128817,129162,129692,129852,130188,130401,131001,131523,131845,131814,132081,132440,133302,134323,136109,137999,139739,140921,142136,143478,144870,146272,147532,148685,149972,151326,152371,153262,154079,155438,156738,158359,159809,161124,162306,163605,165129,166455,168091,169387,170631,171481,171924,172277,172599,173412,174018,174615,175767,176870,177557,177509,177902,178611,179488,179827,180089,180308,181391,182608,183244,183664,184109,184942,185442,185897,185943,186063,186270,186870,187523,188090,188773,189360,189995,191034,192072,193062,193712,194635,195577,196573,197496,198355,199399,200233,200623,200608,200698,201201,201686,202202,202396,203236,203922,204563,204257,204428,205375,206788,207666,208027,208485,209451,211648,213986,216539,218674,220759,223316,224554,226377,228634,233539,238913,244703,249130,252928,255525,258599,261803,265441,270156,275255
2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,13,144892,145274,145736,146647,147558,148243,148980,149681,150526,151249,151973,152690,153403,154105,154804,155480,156148,156797,157392,157996,158609,159298,160029,160659,161178,161636,162208,162813,163351,164023,164758,165714,166385,167083,167647,168381,169060,169816,170425,171142,171822,172615,173384,174266,175345,176392,177269,177968,178603,179513,180666,182041,183739,185513,,,194037,196911,199745,203702,207922,213542,218884,225244,232177,241780,252302,262310,272948,281676,290325,294486,295941,300096,305061,310696,312343,312960,311656,308837,305020,303367,300769,298536,295874,294449,293744,293701,293563,292297,290062,287160,284064,281077,276581,271937,267117,261097,255124,247538,242796,237798,232471,225156,218319,213284,206041,198594,191759,188678,185580,182211,177953,174755,172260,170234,168415,165535,165262,165335,166020,164744,163327,163015,162368,161773,158767,156482,153232,151699,149818,148097,145718,143869,142979,141431,139933,138074,137648,137551,137714,137966,138027,139316,140172,141607,142168,144854,148684,152926,156390,159758,163720,167392,170962,173105,175982,177862,180583,182171,184176,187071,191018,194248,196804,198585,199024,200666,202816,206117,206895,206387,206027,206211,206112,206218,205845,206190,207251,208698,209528,210239,212279,214398,216365,217148,218745,220122,222142,223243,224074,224675,226745,228516,229916,230864,231921,232869,232984,233592,234708,236541,238202,239060,239926,241396,243235,244508,245519,246617,248370,249350,250902,252263,253653,254421,255920,258278,260614,262507,264081,265397,266905,268436,270401,271610,272517,273365,274529,275797,277247,278103,278857,279588,280774,282725,284437,286140,287814,289937,292071,294190,297294,301629,304492,306227,308141,312627,318021,323447,328848,335187,342699,349178,358016,364709,377057,388610,402038,412138,420446,428029,434197,440003,445816,454596,463963,475651
2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,6,73,229358,230607,231959,234974,237865,241614,245502,249686,253359,256576,259965,262871,265419,268640,272899,278086,282310,285349,287550,289813,292503,295392,298277,300415,302645,304833,307841,311315,315640,320237,325791,331593,337558,343611,349050,355172,360132,365019,370123,375579,381679,386492,392627,397836,404643,410405,416296,417835,422850,430319,440939,449539,458433,473718,487691,500808,510087,519918,527448,534029,537863,541655,548382,556794,565120,567854,568880,570059,571123,571829,571902,571963,573782,573261,573682,572845,574633,573798,570842,566254,562482,559786,558612,556733,555406,553023,547022,541152,534750,530757,525267,521834,516798,512244,505954,501763,495269,487327,478285,471536,463163,454683,444358,434863,423326,413976,405356,399907,394827,392136,390739,385742,382866,376514,375791,372555,374008,374495,378758,382347,385934,387618,389856,393905,394490,394210,391234,389095,385627,381060,377545,376456,375759,374941,372163,370793,369118,368530,366690,362849,359067,356280,355589,354500,355464,356467,357579,357021,357756,360400,363025,365480,367540,370842,374749,382212,388789,395322,401357,408275,415145,423548,432271,440692,444842,447553,450527,454030,460437,468097,469050,467373,463484,463366,463722,461068,461449,462309,466921,468900,469367,470031,474981,478658,482457,482584,481718,482469,484929,489575,493209,498183,506100,509404,508668,508109,509541,512934,511424,513837,516848,523154,526425,529186,529287,532426,536457,541839,547034,550888,552403,553387,555831,561212,564687,568617,574734,581325,585553,585347,584763,585848,587934,591050,592243,594533,595471,595120,591342,588978,588615,591671,593312,595199,597487,599490,600064,600628,602664,605200,608173,611436,617124,621089,624030,624272,627876,634605,644783,655901,668069,678785,688290,696743,707070,721232,742417,766818,790879,805650,815455,820235,827837,839270,859886,880373,903779,923350
1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,59,276278,278974,280738,284413,287489,290761,294071,297265,300478,304090,307152,310694,313393,316940,319907,323763,327341,330217,333113,335859,339657,343014,345789,348511,350998,354072,357276,361355,366260,371917,378608,385350,391280,396709,401929,407602,412711,417907,422855,429194,436568,442739,449021,455916,464829,473878,482583,487430,496049,507016,,538180,554726,571523,586219,596295,601062,606584,609396,616462,624204,631258,640741,648951,659681,664965,672676,680675,690191,697265,701320,708899,714653,721785,725411,730771,734133,736690,733833,734432,732597,734091,730453,726248,726125,726403,726660,720982,714956,710225,701551,691327,677198,667763,662602,653116,640733,622135,610673,596266,584758,573000,566234,560430,557666,551027,541955,531567,523370,521341,516730,514840,512132,510189,508607,506299,507509,510310,516920,522091,523313,522586,521087,526007,528013,529149,524483,520785,516629,512525,507870,504888,503572,503144,500931,497215,491076,488297,487580,486139,481738,478614,478724,480591,478752,476523,474952,475073,476544,477620,481786,486236,491750,497043,503104,509416,519608,531924,544949,556079,566212,576213,581500,584824,588779,594347,603004,612008,618301,621917,618947,617538,613766,612583,612051,610370,610915,611129,614941,618856,622182,626234,629071,632428,633423,634749,637658,640251,643277,645982,648408,654586,659034,663804,665727,665513,667907,668039,671494,672645,672384,672562,676895,680756,687081,689273,693928,695332,697918,701448,702831,703657,705559,709826,715103,720399,724693,728585,732048,736400,740112,743685,744179,745103,744437,747319,748054,746940,744485,742275,741830,741289,742289,741376,742210,744054,749475,752867,752888,751257,753578,758567,765784,769897,768484,765101,765282,775202,785373,795857,802883,810944,818595,827019,836676,848927,868242,892185,915633,932870,943923,953842,966798,984769,1008652,1030499,1055189,1078540
581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,36,47,228590,230099,231587,234721,237709,240841,243797,245770,247599,249293,251843,254174,256833,259873,263250,266316,269131,271515,273528,275549,277673,280018,282617,285178,288911,293355,287614,280432,,,275045,281530,287874,294111,295382,296766,297993,305214,314865,325455,332936,347103,359106,366249,365144,365426,368964,371837,376306,379915,383401,383896,387399,389966,397833,402412,413006,421349,430971,437716,439755,442064,447101,455882,463764,469748,478249,487985,497343,507173,512126,517888,521353,525610,522191,522933,525046,536130,542381,550461,547117,546572,541696,541389,541953,540616,545612,544531,546423,543444,543078,545654,542464,540454,538727,539188,542236,543694,547690,546089,542682,539154,534637,531560,529125,526514,524272,521644,518943,513927,508827,503363,499003,493490,488226,483575,480778,478068,477634,477532,480211,484855,483919,482308,480326,483228,488120,489429,491262,490311,489990,487811,485860,483139,487343,491050,494207,490881,487549,486080,487532,489654,491494,493495,494678,494842,493245,493715,494258,494992,494947,495581,497388,499387,503879,508361,513303,516803,518679,520109,522416,525817,527725,530093,536275,542840,547956,551910,556213,562788,568310,575858,582054,587197,591152,595091,599084,602391,604203,606415,608160,610497,612971,620332,628252,635471,640032,643614,649630,655120,661578,666367,668831,670272,672106,675583,678206,680527,683094,686484,688067,688696,690827,695273,700889,705126,708840,712887,716732,719128,721819,725022,730507,737029,742688,747876,751330,756078,759072,761250,763170,766524,770315,773422,773977,776237,780521,785779,789224,791676,793789,795492,796321,796528,797334,794949,792611,789172,787003,785407,784778,785042,787427,789677,791294,791699,794270,798240,802100,804597,808652,810890,811810,812080,812860,815082,815060,817225,820735,828751,836366,841292,842683,843670,847297,852234,858801,864626
2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,131496,132138,132588,133502,134180,134884,135625,136273,136983,137570,138324,139177,140124,141068,141879,142825,143910,145192,146652,148294,150015,151587,153097,154622,156211,157849,159462,161232,162954,164880,166994,169319,171299,173075,174608,177098,179918,182983,185677,188470,191009,193288,195104,197203,199648,202141,204545,206311,208572,210780,213793,216422,219766,223152,227111,231259,235425,239762,244034,248912,253519,258094,262303,266521,272265,279083,286269,293029,300369,306910,312131,316545,321868,326657,332858,339426,346289,350734,354563,357369,359462,360394,362035,363795,364256,364895,363665,363564,362144,361145,359686,357829,354122,351202,346906,344809,337251,329457,319967,312738,305884,298782,291703,283304,274525,265775,258138,250214,241873,234118,226868,220882,215156,210887,206071,202119,198238,195738,193284,190794,189369,188353,188102,187708,187119,185572,183859,182006,180577,178335,176610,175443,174118,172708,171597,171343,170757,169796,168888,168465,168324,168916,169515,169725,170307,170280,170778,171044,172090,173662,175143,176995,179191,181271,183255,184499,185975,188406,191680,195502,198356,200414,203216,205908,208900,211423,215557,219740,223286,224836,225909,226822,228279,230012,231881,233731,235902,238802,240565,242421,243100,244592,245255,246430,247844,249501,250803,252037,253664,254694,256670,258816,261582,263792,265118,266698,267678,269796,272087,274360,276020,277223,278487,280244,282258,284097,284909,285674,287044,288495,289774,291304,292273,293923,294331,296021,296894,299310,301245,303508,305141,306623,308103,308851,309826,310310,312931,314557,316591,316905,317816,318649,318761,319326,319631,319690,319418,319788,320133,320317,320345,323047,325374,327165,328183,328922,330166,331377,333330,335118,336424,339091,343157,347079,351763,354470,359411,364224,370478,376943,384869,393293,401083,408941,417328,425005,433351,441318
978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,48,113,115874,115990,116091,116326,116578,116820,117130,117563,118114,118691,119271,119902,120290,119781,119683,119787,120464,120376,120294,120537,120879,121240,121429,121706,121865,122186,122541,123072,123549,124200,124770,125352,125902,126389,126879,127254,127531,127741,128020,128204,128374,128527,128522,128533,128512,128707,128932,128972,,,,,137509,137631,137720,138015,138052,138254,138865,139252,140328,140178,140498,140412,141012,141798,142029,142170,142274,142089,142135,141724,141504,141728,142004,142654,143266,143806,143743,143353,143261,144195,144619,145140,144527,143869,143248,143550,144310,144798,145210,145625,146146,146121,146158,146408,145664,144114,142341,141515,141245,140804,140770,140157,139177,137673,135589,134387,133344,133906,134076,134602,134788,134818,134835,134626,134865,134985,135692,135870,135470,134857,134252,134428,134306,134475,133911,133169,131704,130711,129554,129422,129073,128825,128012,127133,126346,125690,125466,125154,125124,124761,124455,123500,122689,122802,123401,123783,123819,124041,125017,125583,126156,126486,127225,127822,128131,128087,128156,129019,130174,131608,132806,133804,135046,136477,138061,139271,139076,138993,138809,139694,140909,142496,142498,142443,142454,143870,145594,147059,147331,147255,147387,149456,151857,154201,156502,157339,158291,159217,161362,163398,163334,163009,162632,164201,166250,168628,171365,172937,174409,175811,178112,180135,181672,183199,184727,186304,187775,188748,189680,189656,190188,190699,192183,194086,197468,200944,203919,205391,206805,208215,210018,212676,213830,214453,214222,215407,218282,220951,223305,223490,223059,222518,222451,223647,225268,225033,224198,222903,225214,227290,229681,229776,229565,229368,229855,231896,234358,237279,239012,240993,243960,247630,251021,253913,257221,261709,266377,273396,280318,285949,289215,292130,297378,304746,312157,320939
1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,36,81,252588,254443,256334,259211,261617,263883,266578,269648,272477,275959,279293,282460,285041,287455,290396,293489,296767,299744,302512,304939,306378,307806,309905,312847,316151,317477,315655,313335,,314906,317615,320378,322813,324964,326986,328761,330751,332887,334936,336796,338411,341340,343058,345004,346627,349428,352318,354373,357152,359849,362892,366042,370004,374979,380004,384590,389030,394109,400426,406312,410813,414975,419935,426732,434031,437978,444474,450458,458544,464921,470080,477993,483588,490461,495489,499112,504031,506049,509177,512909,517572,514366,,494182,490508,492901,500239,503669,507642,502562,500964,498999,498655,501182,501313,502792,502426,501127,497684,494567,490474,486378,482036,477840,473313,469643,465805,460369,454402,448721,445099,441353,437111,432963,428648,425421,422815,420050,419674,418868,418791,417126,415249,414585,414701,416847,417959,418939,420338,422004,421816,419908,419401,419431,420648,420104,420176,419265,419058,418995,418386,416449,414838,414189,414333,414133,412626,412291,411901,414180,415657,416303,416320,416833,419162,420466,421397,422165,424322,426949,429181,432104,434982,437908,439616,441515,444660,447304,451219,455287,459627,463227,464647,466173,468083,470608,473919,475481,478852,481594,484599,486648,488710,491550,493940,498444,502220,506314,508449,510378,512875,515872,519133,522388,524880,528649,532198,536078,539878,543276,547378,550660,554802,558162,562184,564703,567644,569498,572717,575559,578991,582350,585529,589663,592932,595859,598280,601969,606468,611695,616332,621416,626683,630925,634379,635824,638262,641252,644412,647745,650237,651240,651611,650733,650212,649509,648259,647627,647095,647908,649813,652978,654512,655468,653966,653785,655622,657833,661021,661472,664124,667807,672715,675178,676118,676703,680806,684864,689251,691978,697354,702712,707153,709465,712617,716259,721487,725277
